Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,33891.67999999999,406700.16,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
BYOL-Cost-estimate,Asia Pacific (Hyderabad),ASRI-EJHS-DB-r5.2xlarge,Amazon EC2 ,0,394.2,4730.40,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r5.2xlarge), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
BYOL-Cost-estimate,Asia Pacific (Hyderabad),ASRI EJHS -APP-t3.medium-PROD,Amazon EC2 ,0,63.364,760.37,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.medium), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
BYOL-Cost-estimate,Asia Pacific (Hyderabad),ASRI EJHS -APP- t3large-prod,Amazon EC2 ,0,381.06,4572.72,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (t3.large), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
BYOL-Cost-estimate,Asia Pacific (Hyderabad),ASRI EJHS-APP-r5large-Prod,Amazon EC2 ,0,97.82,1173.84,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r5.large), Pricing strategy ( 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
BYOL-Cost-estimate,Asia Pacific (Hyderabad),ASRI- EJHS-r5.large-app-prod,Amazon EC2 ,0,97.82,1173.84,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (r5.large), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
BYOL-Cost-estimate,Asia Pacific (Hyderabad),RDS-BYOL-DB,Amazon RDS for Oracle,0,1640.96,19691.52,USD,,"Storage amount (100 GB), Would you be enabling Database Insights with the database? (Yes), Nodes (1), Instance type (db.r5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), License (Bring your own license), Database edition (Enterprise), Pricing strategy (OnDemand), Storage for each RDS instance (General Purpose SSD (gp2))"
BYOL-Cost-estimate,Asia Pacific (Hyderabad),EKS-3,Amazon EKS,0,773.8,9285.60,USD,,"Number of EKS Clusters (1), Number of hybrid nodes (3 per month), Number of vCPU per hybrid node (16)"
BYOL-Cost-estimate,Asia Pacific (Hyderabad),EFS-90 TB,Amazon Elastic File System (EFS),0,30412.8,364953.60,USD,,Desired Storage Capacity (90 TB per month)
BYOL-Cost-estimate,Asia Pacific (Hyderabad),ASRI EJHS -DevQA-t3.large,Amazon EC2 ,0,29.856997999999997,358.28,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Weekly, Baseline: 1, Peak: 2, Duration of peak: 3 Day 0 Hr 0 Min), Advance EC2 instance (t3.medium), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
